"","weeks","age_group","inc"
"1",0,"18-29 years",0
"2",0,"30-49 years",0
"3",0,"50-64 years",0
"4",0,"65-74 years",0.386473429951691
"5",0,"75+ years",0.273972602739726
"6",1,"18-29 years",0.127388535031847
"7",1,"30-49 years",0.228920259442961
"8",1,"50-64 years",0.642398286937902
"9",1,"65-74 years",0.772946859903382
"10",1,"75+ years",4.10958904109589
"11",2,"18-29 years",0.382165605095541
"12",2,"30-49 years",0.228920259442961
"13",2,"50-64 years",0.642398286937902
"14",2,"65-74 years",2.31884057971015
"15",2,"75+ years",7.12328767123288
"16",3,"18-29 years",0.382165605095541
"17",3,"30-49 years",0.228920259442961
"18",3,"50-64 years",1.49892933618844
"19",3,"65-74 years",2.1256038647343
"20",3,"75+ years",9.31506849315068
"21",4,"18-29 years",0.382165605095541
"22",4,"30-49 years",0.610454025181228
"23",4,"50-64 years",1.82012847965739
"24",4,"65-74 years",4.83091787439614
"25",4,"75+ years",9.31506849315068
"26",5,"18-29 years",0.89171974522293
"27",5,"30-49 years",0.305227012590614
"28",5,"50-64 years",2.46252676659529
"29",5,"65-74 years",4.83091787439614
"30",5,"75+ years",13.4246575342466
"31",6,"18-29 years",1.01910828025478
"32",6,"30-49 years",0.305227012590614
"33",6,"50-64 years",2.46252676659529
"34",6,"65-74 years",4.83091787439614
"35",6,"75+ years",13.972602739726
"36",7,"18-29 years",0.382165605095541
"37",7,"30-49 years",0.686760778328882
"38",7,"50-64 years",2.56959314775161
"39",7,"65-74 years",5.60386473429952
"40",7,"75+ years",16.4383561643836
"41",8,"18-29 years",0.636942675159236
"42",8,"30-49 years",0.686760778328882
"43",8,"50-64 years",2.78372591006424
"44",8,"65-74 years",5.60386473429952
"45",8,"75+ years",17.8082191780822
"46",9,"18-29 years",0.127388535031847
"47",9,"30-49 years",0.457840518885921
"48",9,"50-64 years",1.71306209850107
"49",9,"65-74 years",6.76328502415459
"50",9,"75+ years",15.8904109589041
"51",10,"18-29 years",0.636942675159236
"52",10,"30-49 years",0.991987790919496
"53",10,"50-64 years",2.99785867237687
"54",10,"65-74 years",7.53623188405797
"55",10,"75+ years",27.6712328767123
"56",11,"18-29 years",0.254777070063694
"57",11,"30-49 years",0.915681037771843
"58",11,"50-64 years",3.64025695931477
"59",11,"65-74 years",7.34299516908213
"60",11,"75+ years",27.1232876712329
"61",12,"18-29 years",0.254777070063694
"62",12,"30-49 years",0.991987790919496
"63",12,"50-64 years",3.85438972162741
"64",12,"65-74 years",10.2415458937198
"65",12,"75+ years",30.6849315068493
"66",13,"18-29 years",0.764331210191083
"67",13,"30-49 years",1.22090805036246
"68",13,"50-64 years",4.17558886509636
"69",13,"65-74 years",7.92270531400966
"70",13,"75+ years",32.3287671232877
"71",14,"18-29 years",0.636942675159236
"72",14,"30-49 years",0.839374284624189
"73",14,"50-64 years",3.31905781584582
"74",14,"65-74 years",8.11594202898551
"75",14,"75+ years",32.0547945205479
"76",15,"18-29 years",1.01910828025478
"77",15,"30-49 years",0.763067531476536
"78",15,"50-64 years",4.28265524625268
"79",15,"65-74 years",10.6280193236715
"80",15,"75+ years",30.4109589041096
"81",16,"18-29 years",0.636942675159236
"82",16,"30-49 years",1.44982830980542
"83",16,"50-64 years",3.42612419700214
"84",16,"65-74 years",7.92270531400966
"85",16,"75+ years",20
"86",17,"18-29 years",0.382165605095541
"87",17,"30-49 years",0.915681037771843
"88",17,"50-64 years",2.67665952890792
"89",17,"65-74 years",7.53623188405797
"90",17,"75+ years",25.4794520547945
"91",18,"18-29 years",1.01910828025478
"92",18,"30-49 years",0.686760778328882
"93",18,"50-64 years",2.78372591006424
"94",18,"65-74 years",5.60386473429952
"95",18,"75+ years",21.3698630136986
"96",19,"18-29 years",1.14649681528662
"97",19,"30-49 years",0.991987790919496
"98",19,"50-64 years",2.35546038543897
"99",19,"65-74 years",7.72946859903382
"100",19,"75+ years",21.9178082191781
"101",20,"18-29 years",1.27388535031847
"102",20,"30-49 years",0.991987790919496
"103",20,"50-64 years",5.0321199143469
"104",20,"65-74 years",7.92270531400966
"105",20,"75+ years",22.7397260273973
"106",21,"18-29 years",0.382165605095541
"107",21,"30-49 years",0.763067531476536
"108",21,"50-64 years",3.74732334047109
"109",21,"65-74 years",8.5024154589372
"110",21,"75+ years",25.4794520547945
"111",22,"18-29 years",0.89171974522293
"112",22,"30-49 years",1.06829454406715
"113",22,"50-64 years",4.38972162740899
"114",22,"65-74 years",8.30917874396135
"115",22,"75+ years",24.3835616438356
"116",23,"18-29 years",1.01910828025478
"117",23,"30-49 years",1.44982830980542
"118",23,"50-64 years",3.96145610278373
"119",23,"65-74 years",10.8212560386473
"120",23,"75+ years",29.041095890411
"121",24,"18-29 years",0.764331210191083
"122",24,"30-49 years",2.1365890881343
"123",24,"50-64 years",5.24625267665953
"124",24,"65-74 years",11.0144927536232
"125",24,"75+ years",40.2739726027397
"126",25,"18-29 years",1.14649681528662
"127",25,"30-49 years",1.60244181610073
"128",25,"50-64 years",7.6017130620985
"129",25,"65-74 years",13.1400966183575
"130",25,"75+ years",47.9452054794521
"131",26,"18-29 years",1.01910828025478
"132",26,"30-49 years",2.59442960702022
"133",26,"50-64 years",6.85224839400428
"134",26,"65-74 years",13.719806763285
"135",26,"75+ years",56.986301369863
"136",27,"18-29 years",1.01910828025478
"137",27,"30-49 years",1.67874856924838
"138",27,"50-64 years",5.56745182012848
"139",27,"65-74 years",12.7536231884058
"140",27,"75+ years",43.2876712328767
"141",28,"18-29 years",0.764331210191083
"142",28,"30-49 years",1.06829454406715
"143",28,"50-64 years",4.92505353319058
"144",28,"65-74 years",12.9468599033816
"145",28,"75+ years",33.6986301369863
"146",29,"18-29 years",0.509554140127389
"147",29,"30-49 years",1.06829454406715
"148",29,"50-64 years",4.81798715203426
"149",29,"65-74 years",11.0144927536232
"150",29,"75+ years",31.5068493150685
"151",30,"18-29 years",0.254777070063694
"152",30,"30-49 years",1.22090805036246
"153",30,"50-64 years",4.38972162740899
"154",30,"65-74 years",7.72946859903382
"155",30,"75+ years",29.8630136986301
"156",31,"18-29 years",0.382165605095541
"157",31,"30-49 years",0.686760778328882
"158",31,"50-64 years",2.24839400428265
"159",31,"65-74 years",7.92270531400966
"160",31,"75+ years",21.6438356164384
"161",32,"18-29 years",0.89171974522293
"162",32,"30-49 years",0.991987790919496
"163",32,"50-64 years",3.64025695931477
"164",32,"65-74 years",7.92270531400966
"165",32,"75+ years",20.5479452054795
"166",33,"18-29 years",0.764331210191083
"167",33,"30-49 years",0.991987790919496
"168",33,"50-64 years",2.99785867237687
"169",33,"65-74 years",6.76328502415459
"170",33,"75+ years",18.0821917808219
"171",34,"18-29 years",0.254777070063694
"172",34,"30-49 years",0.686760778328882
"173",34,"50-64 years",1.9271948608137
"174",34,"65-74 years",5.79710144927536
"175",34,"75+ years",16.7123287671233
"176",35,"18-29 years",0.254777070063694
"177",35,"30-49 years",0.915681037771843
"178",35,"50-64 years",2.35546038543897
"179",35,"65-74 years",5.21739130434783
"180",35,"75+ years",13.1506849315068
"181",36,"18-29 years",0.382165605095541
"182",36,"30-49 years",0.534147272033575
"183",36,"50-64 years",2.03426124197002
"184",36,"65-74 years",3.28502415458937
"185",36,"75+ years",13.4246575342466
"186",37,"18-29 years",0.254777070063694
"187",37,"30-49 years",0.152613506295307
"188",37,"50-64 years",1.60599571734475
"189",37,"65-74 years",4.05797101449275
"190",37,"75+ years",10.6849315068493
"191",38,"18-29 years",0.254777070063694
"192",38,"30-49 years",0.152613506295307
"193",38,"50-64 years",1.71306209850107
"194",38,"65-74 years",3.86473429951691
"195",38,"75+ years",9.86301369863014
"196",39,"18-29 years",0.127388535031847
"197",39,"30-49 years",0.534147272033575
"198",39,"50-64 years",1.82012847965739
"199",39,"65-74 years",3.86473429951691
"200",39,"75+ years",8.76712328767123
