"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",9740,895.220588235294
"2",1,"nonsevere","18-29 years",5056,644.076433121019
"3",1,"nonsevere","30-49 years",2023,154.368561617703
"4",1,"nonsevere","50-64 years",1188,127.194860813705
"5",1,"nonsevere","65-74 years",743,143.574879227053
"6",1,"nonsevere","75+ years",770,210.958904109589
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",1,0.127388535031847
"9",1,"severe","30-49 years",1,0.0763067531476536
"10",1,"severe","50-64 years",3,0.321199143468951
"11",1,"severe","65-74 years",8,1.54589371980676
"12",1,"severe","75+ years",14,3.83561643835616
"13",2,"nonsevere","0-17 years",12650,1162.68382352941
"14",2,"nonsevere","18-29 years",7758,988.28025477707
"15",2,"nonsevere","30-49 years",2983,227.623044639451
"16",2,"nonsevere","50-64 years",1689,180.835117773019
"17",2,"nonsevere","65-74 years",920,177.777777777778
"18",2,"nonsevere","75+ years",1003,274.794520547945
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",1,0.127388535031847
"21",2,"severe","30-49 years",3,0.228920259442961
"22",2,"severe","50-64 years",6,0.642398286937902
"23",2,"severe","65-74 years",6,1.15942028985507
"24",2,"severe","75+ years",19,5.2054794520548
"25",3,"nonsevere","0-17 years",17269,1587.22426470588
"26",3,"nonsevere","18-29 years",11660,1485.35031847134
"27",3,"nonsevere","30-49 years",4288,327.203357497138
"28",3,"nonsevere","50-64 years",2614,279.871520342612
"29",3,"nonsevere","65-74 years",1313,253.719806763285
"30",3,"nonsevere","75+ years",1472,403.287671232877
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",7,0.89171974522293
"33",3,"severe","30-49 years",8,0.610454025181228
"34",3,"severe","50-64 years",12,1.2847965738758
"35",3,"severe","65-74 years",16,3.09178743961353
"36",3,"severe","75+ years",34,9.31506849315068
"37",4,"nonsevere","0-17 years",24175,2221.96691176471
"38",4,"nonsevere","18-29 years",16453,2095.92356687898
"39",4,"nonsevere","30-49 years",6246,476.611980160244
"40",4,"nonsevere","50-64 years",3750,401.498929336188
"41",4,"nonsevere","65-74 years",1943,375.458937198068
"42",4,"nonsevere","75+ years",2108,577.534246575342
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",4,0.509554140127389
"45",4,"severe","30-49 years",6,0.457840518885921
"46",4,"severe","50-64 years",20,2.14132762312634
"47",4,"severe","65-74 years",16,3.09178743961353
"48",4,"severe","75+ years",42,11.5068493150685
"49",5,"nonsevere","0-17 years",30554,2808.27205882353
"50",5,"nonsevere","18-29 years",21119,2690.31847133758
"51",5,"nonsevere","30-49 years",8010,611.217092712705
"52",5,"nonsevere","50-64 years",4837,517.880085653105
"53",5,"nonsevere","65-74 years",2539,490.628019323671
"54",5,"nonsevere","75+ years",2730,747.945205479452
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",9,1.14649681528662
"57",5,"severe","30-49 years",9,0.686760778328882
"58",5,"severe","50-64 years",16,1.71306209850107
"59",5,"severe","65-74 years",25,4.83091787439614
"60",5,"severe","75+ years",61,16.7123287671233
"61",6,"nonsevere","0-17 years",34354,3157.53676470588
"62",6,"nonsevere","18-29 years",23399,2980.76433121019
"63",6,"nonsevere","30-49 years",9357,714.002289202595
"64",6,"nonsevere","50-64 years",5793,620.235546038544
"65",6,"nonsevere","65-74 years",2981,576.038647342995
"66",6,"nonsevere","75+ years",3170,868.493150684932
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",0,0
"69",6,"severe","30-49 years",14,1.06829454406715
"70",6,"severe","50-64 years",23,2.46252676659529
"71",6,"severe","65-74 years",30,5.79710144927536
"72",6,"severe","75+ years",67,18.3561643835616
"73",7,"nonsevere","0-17 years",37389,3436.48897058824
"74",7,"nonsevere","18-29 years",25878,3296.56050955414
