"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",8732,802.573529411765
"2",1,"nonsevere","18-29 years",5007,637.834394904459
"3",1,"nonsevere","30-49 years",1900,144.982830980542
"4",1,"nonsevere","50-64 years",1135,121.52034261242
"5",1,"nonsevere","65-74 years",689,133.140096618357
"6",1,"nonsevere","75+ years",705,193.150684931507
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",0,0
"9",1,"severe","30-49 years",2,0.152613506295307
"10",1,"severe","50-64 years",4,0.428265524625268
"11",1,"severe","65-74 years",3,0.579710144927536
"12",1,"severe","75+ years",13,3.56164383561644
"13",2,"nonsevere","0-17 years",11329,1041.26838235294
"14",2,"nonsevere","18-29 years",7565,963.694267515923
"15",2,"nonsevere","30-49 years",2798,213.506295307135
"16",2,"nonsevere","50-64 years",1607,172.055674518201
"17",2,"nonsevere","65-74 years",886,171.207729468599
"18",2,"nonsevere","75+ years",960,263.013698630137
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",2,0.254777070063694
"21",2,"severe","30-49 years",3,0.228920259442961
"22",2,"severe","50-64 years",3,0.321199143468951
"23",2,"severe","65-74 years",7,1.35265700483092
"24",2,"severe","75+ years",17,4.65753424657534
"25",3,"nonsevere","0-17 years",15319,1407.99632352941
"26",3,"nonsevere","18-29 years",10989,1399.87261146497
"27",3,"nonsevere","30-49 years",4023,306.98206791301
"28",3,"nonsevere","50-64 years",2287,244.860813704497
"29",3,"nonsevere","65-74 years",1173,226.666666666667
"30",3,"nonsevere","75+ years",1359,372.328767123288
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",3,0.382165605095541
"33",3,"severe","30-49 years",3,0.228920259442961
"34",3,"severe","50-64 years",9,0.963597430406852
"35",3,"severe","65-74 years",15,2.89855072463768
"36",3,"severe","75+ years",40,10.958904109589
"37",4,"nonsevere","0-17 years",21182,1946.875
"38",4,"nonsevere","18-29 years",15152,1930.19108280255
"39",4,"nonsevere","30-49 years",5560,424.265547500954
"40",4,"nonsevere","50-64 years",3155,337.79443254818
"41",4,"nonsevere","65-74 years",1797,347.246376811594
"42",4,"nonsevere","75+ years",1904,521.643835616438
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",4,0.509554140127389
"45",4,"severe","30-49 years",8,0.610454025181228
"46",4,"severe","50-64 years",12,1.2847965738758
"47",4,"severe","65-74 years",17,3.28502415458937
"48",4,"severe","75+ years",42,11.5068493150685
"49",5,"nonsevere","0-17 years",26331,2420.12867647059
"50",5,"nonsevere","18-29 years",18866,2403.31210191083
"51",5,"nonsevere","30-49 years",7378,562.991224723388
"52",5,"nonsevere","50-64 years",4162,445.610278372591
"53",5,"nonsevere","65-74 years",2278,440.193236714976
"54",5,"nonsevere","75+ years",2439,668.219178082192
"55",5,"severe","0-17 years",0,0
