"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",7789,715.900735294118
"2",1,"nonsevere","18-29 years",4470,569.426751592357
"3",1,"nonsevere","30-49 years",1751,133.613124761541
"4",1,"nonsevere","50-64 years",1025,109.743040685225
"5",1,"nonsevere","65-74 years",573,110.724637681159
"6",1,"nonsevere","75+ years",694,190.13698630137
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",1,0.127388535031847
"9",1,"severe","30-49 years",1,0.0763067531476536
"10",1,"severe","50-64 years",6,0.642398286937902
"11",1,"severe","65-74 years",6,1.15942028985507
"12",1,"severe","75+ years",19,5.2054794520548
"13",2,"nonsevere","0-17 years",9900,909.926470588235
"14",2,"nonsevere","18-29 years",6566,836.433121019108
"15",2,"nonsevere","30-49 years",2425,185.04387638306
"16",2,"nonsevere","50-64 years",1485,158.993576017131
"17",2,"nonsevere","65-74 years",809,156.328502415459
"18",2,"nonsevere","75+ years",870,238.356164383562
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",1,0.127388535031847
"21",2,"severe","30-49 years",4,0.305227012590614
"22",2,"severe","50-64 years",6,0.642398286937902
"23",2,"severe","65-74 years",8,1.54589371980676
"24",2,"severe","75+ years",33,9.04109589041096
"25",3,"nonsevere","0-17 years",13219,1214.98161764706
"26",3,"nonsevere","18-29 years",9461,1205.22292993631
"27",3,"nonsevere","30-49 years",3529,269.286531858069
"28",3,"nonsevere","50-64 years",2150,230.192719486081
"29",3,"nonsevere","65-74 years",1132,218.743961352657
"30",3,"nonsevere","75+ years",1209,331.232876712329
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",2,0.254777070063694
"33",3,"severe","30-49 years",4,0.305227012590614
"34",3,"severe","50-64 years",5,0.535331905781585
"35",3,"severe","65-74 years",13,2.51207729468599
"36",3,"severe","75+ years",34,9.31506849315068
"37",4,"nonsevere","0-17 years",18055,1659.46691176471
"38",4,"nonsevere","18-29 years",13422,1709.80891719745
"39",4,"nonsevere","30-49 years",4897,373.67417016406
"40",4,"nonsevere","50-64 years",3029,324.304068522484
"41",4,"nonsevere","65-74 years",1572,303.768115942029
"42",4,"nonsevere","75+ years",1746,478.356164383562
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",2,0.254777070063694
"45",4,"severe","30-49 years",8,0.610454025181228
"46",4,"severe","50-64 years",16,1.71306209850107
"47",4,"severe","65-74 years",16,3.09178743961353
"48",4,"severe","75+ years",37,10.1369863013699
"49",5,"nonsevere","0-17 years",21349,1962.22426470588
"50",5,"nonsevere","18-29 years",16273,2072.99363057325
"51",5,"nonsevere","30-49 years",6148,469.133918351774
"52",5,"nonsevere","50-64 years",3752,401.713062098501
"53",5,"nonsevere","65-74 years",1923,371.594202898551
"54",5,"nonsevere","75+ years",2088,572.054794520548
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",3,0.382165605095541
"57",5,"severe","30-49 years",5,0.381533765738268
"58",5,"severe","50-64 years",24,2.56959314775161
"59",5,"severe","65-74 years",16,3.09178743961353
"60",5,"severe","75+ years",44,12.0547945205479
"61",6,"nonsevere","0-17 years",22160,2036.76470588235
"62",6,"nonsevere","18-29 years",16757,2134.64968152866
"63",6,"nonsevere","30-49 years",6347,484.318962228157
"64",6,"nonsevere","50-64 years",3987,426.873661670236
"65",6,"nonsevere","65-74 years",1967,380.096618357488
"66",6,"nonsevere","75+ years",2089,572.328767123288
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",1,0.127388535031847
"69",6,"severe","30-49 years",1,0.0763067531476536
"70",6,"severe","50-64 years",19,2.03426124197002
"71",6,"severe","65-74 years",32,6.18357487922705
"72",6,"severe","75+ years",61,16.7123287671233
"73",7,"nonsevere","0-17 years",22938,2108.27205882353
"74",7,"nonsevere","18-29 years",17037,2170.31847133758
"75",7,"nonsevere","30-49 years",6914,527.584891262877
"76",7,"nonsevere","50-64 years",4112,440.256959314775
"77",7,"nonsevere","65-74 years",2186,422.415458937198
"78",7,"nonsevere","75+ years",2280,624.657534246575
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",3,0.382165605095541
"81",7,"severe","30-49 years",8,0.610454025181228
"82",7,"severe","50-64 years",31,3.31905781584582
"83",7,"severe","65-74 years",18,3.47826086956522
"84",7,"severe","75+ years",57,15.6164383561644
"85",8,"nonsevere","0-17 years",23658,2174.44852941176
"86",8,"nonsevere","18-29 years",17558,2236.68789808917
"87",8,"nonsevere","30-49 years",7129,543.990843189622
"88",8,"nonsevere","50-64 years",4337,464.346895074946
"89",8,"nonsevere","65-74 years",2229,430.724637681159
"90",8,"nonsevere","75+ years",2499,684.657534246575
"91",8,"severe","0-17 years",0,0
"92",8,"severe","18-29 years",5,0.636942675159236
"93",8,"severe","30-49 years",8,0.610454025181228
"94",8,"severe","50-64 years",16,1.71306209850107
"95",8,"severe","65-74 years",18,3.47826086956522
"96",8,"severe","75+ years",58,15.8904109589041
"97",9,"nonsevere","0-17 years",24137,2218.47426470588
"98",9,"nonsevere","18-29 years",17691,2253.63057324841
"99",9,"nonsevere","30-49 years",7356,561.31247615414
"100",9,"nonsevere","50-64 years",4568,489.079229122056
"101",9,"nonsevere","65-74 years",2352,454.492753623188
"102",9,"nonsevere","75+ years",2601,712.602739726027
"103",9,"severe","0-17 years",0,0
"104",9,"severe","18-29 years",2,0.254777070063694
"105",9,"severe","30-49 years",10,0.763067531476536
"106",9,"severe","50-64 years",22,2.35546038543897
"107",9,"severe","65-74 years",14,2.70531400966184
"108",9,"severe","75+ years",73,20
"109",10,"nonsevere","0-17 years",28856,2652.20588235294
"110",10,"nonsevere","18-29 years",21191,2699.49044585987
"111",10,"nonsevere","30-49 years",9015,687.905379626097
"112",10,"nonsevere","50-64 years",5684,608.565310492505
"113",10,"nonsevere","65-74 years",2904,561.159420289855
"114",10,"nonsevere","75+ years",3138,859.72602739726
"115",10,"severe","0-17 years",0,0
"116",10,"severe","18-29 years",8,1.01910828025478
"117",10,"severe","30-49 years",11,0.839374284624189
