"","week","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"1",6,"0-17 years","healthy",1.47514955036332,0.0176436383593273
"2",15,"0-17 years","healthy",6.35226258554134,0.0377201961079864
"3",13,"0-17 years","healthy",2.95029910072664,0.0176436383593273
"4",2,"0-17 years","healthy",0.632206950155709,0.0176436383593273
"5",20,"0-17 years","healthy",10.0767162620435,0.0198015670779039
"6",9,"0-17 years","healthy",2.10735650051903,0.0176436383593273
"7",7,"0-17 years","healthy",1.68588520041522,0.0176436383593273
"8",16,"0-17 years","healthy",7.41942789656237,0.0893473829066736
"9",14,"0-17 years","healthy",5.9017324916336,0.247105904378211
"10",3,"0-17 years","healthy",0.842942600207612,0.0176436383593273
"11",1,"0-17 years","healthy",0.421471300103806,0.0176436383593273
"12",10,"0-17 years","healthy",2.31809215057093,0.0176436383593273
"13",8,"0-17 years","healthy",1.89662085046713,0.0176436383593273
"14",17,"0-17 years","healthy",7.78580047769468,0.0306741897950336
"15",26,"0-17 years","healthy",11.9440018980267,0.0121104923715643
"16",4,"0-17 years","healthy",1.05367825025951,0.0176436383593273
"17",24,"0-17 years","healthy",11.5433251078441,0.0161476116621195
"18",11,"0-17 years","healthy",2.52882780062283,0.0176436383593273
"19",25,"0-17 years","healthy",11.7993541541547,0.0214357841280103
"20",18,"0-17 years","healthy",9.33628841894583,0.129813102382988
"21",21,"0-17 years","healthy",10.4529495884142,0.03149977114729
"22",5,"0-17 years","healthy",1.26441390031142,0.0176436383593273
"23",22,"0-17 years","healthy",10.6546839550419,0.0168900146157106
"24",12,"0-17 years","healthy",2.73956345067474,0.0176436383593273
"25",23,"0-17 years","healthy",11.3504580035031,0.0582530088659956
"26",19,"0-17 years","healthy",9.84020630728114,0.0421900375299306
"27",1,"18-29 years","healthy",0.313524936447454,0.0310344827586206
"28",7,"18-29 years","healthy",0.470287404671181,0
"29",8,"18-29 years","healthy",0.653176950932196,0.0241379310344828
"30",14,"18-29 years","healthy",3.4226472228847,0.0827586206896551
"31",9,"18-29 years","healthy",0.83606649719321,0.0241379310344828
"32",12,"18-29 years","healthy",2.32530994531861,0.0310344827586207
"33",16,"18-29 years","healthy",4.20645956400333,0.0724137931034482
"34",19,"18-29 years","healthy",5.85246548035246,0.010344827586207
"35",17,"18-29 years","healthy",4.9118906710101,0.0931034482758621
"36",15,"18-29 years","healthy",3.65779092522029,0.0310344827586207
"37",10,"18-29 years","healthy",1.38473513597625,0.0724137931034483
"38",2,"18-29 years","healthy",0.313524936447454,0
"39",11,"18-29 years","healthy",2.09016624298302,0.0931034482758621
"40",20,"18-29 years","healthy",6.24437165091178,0.0517241379310345
"41",18,"18-29 years","healthy",5.7740842462406,0.113793103448276
"42",5,"18-29 years","healthy",0.470287404671181,0.0206896551724139
"43",3,"18-29 years","healthy",0.313524936447454,0
"44",23,"18-29 years","healthy",7.34170892847787,0.0931034482758621
"45",21,"18-29 years","healthy",6.40113411913551,0.0206896551724137
"46",13,"18-29 years","healthy",2.79559734998979,0.0620689655172414
"47",22,"18-29 years","healthy",6.6362778214711,0.0310344827586208
"48",6,"18-29 years","healthy",0.470287404671181,0
"49",4,"18-29 years","healthy",0.313524936447454,0
"50",26,"18-29 years","healthy",7.57685263081346,0
"51",24,"18-29 years","healthy",7.49847139670159,0.0206896551724137
"52",25,"18-29 years","healthy",7.57685263081346,0.0103448275862069
"53",11,"30-49 years","healthy",2.18151477039573,0.0388768898488121
"54",1,"30-49 years","healthy",0.274322216636589,0.0226781857451405
"55",10,"30-49 years","healthy",1.71124811330443,0.0615550755939525
"56",2,"30-49 years","healthy",0.274322216636589,0
"57",14,"30-49 years","healthy",4.80717027248879,0.123110151187905
"58",7,"30-49 years","healthy",0.470266657091295,0
"59",21,"30-49 years","healthy",10.8422590384937,0.0777537796976242
"60",8,"30-49 years","healthy",0.718462948333923,0.0205183585313175
"61",3,"30-49 years","healthy",0.274322216636589,0
"62",12,"30-49 years","healthy",2.61259253939608,0.0356371490280778
"63",4,"30-49 years","healthy",0.274322216636589,0
"64",13,"30-49 years","healthy",3.31799252503302,0.0583153347732181
"65",22,"30-49 years","healthy",11.0382034789484,0.0161987041036717
"66",9,"30-49 years","healthy",0.96665923957655,0.0205183585313175
"67",20,"30-49 years","healthy",9.90172572431114,0.029157667386609
"68",18,"30-49 years","healthy",9.23551462676514,0.168466522678186
"69",5,"30-49 years","healthy",0.431077769000356,0.0129589632829375
"70",25,"30-49 years","healthy",12.0571145693129,0.0291576673866091
"71",23,"30-49 years","healthy",11.6652256884035,0.0518358531317494
"72",15,"30-49 years","healthy",5.59094803430761,0.0647948164146868
"73",24,"30-49 years","healthy",11.7044145764944,0.00323974082073439
"74",19,"30-49 years","healthy",9.54902573149267,0.0259179265658746
"75",6,"30-49 years","healthy",0.470266657091295,0.00323974082073416
"76",17,"30-49 years","healthy",7.1976924460362,0.0356371490280777
"77",26,"30-49 years","healthy",12.0963034574038,0.00323974082073427
"78",16,"30-49 years","healthy",6.76661467703584,0.0971922246220302
