"","week","age_group","perc_doses"
"107",2021-05-09,"18-29 years",0.0521645635650798
"108",2021-05-09,"50-64 years",0.0385174587751046
"109",2021-05-09,"65-74 years",0.0148395863264285
"110",2021-05-09,"75+ years",0.0109083680522133
"111",2021-05-16,"0-17 years",0.0152727558151858
"112",2021-05-16,"18-29 years",0.0438933813374441
"113",2021-05-16,"50-64 years",0.0316799524584646
"114",2021-05-16,"65-74 years",0.0127811611096584
"115",2021-05-16,"75+ years",0.00958431112685994
"116",2021-05-23,"0-17 years",0.0094338621397587
"117",2021-05-23,"18-29 years",0.0299031763780313
"118",2021-05-23,"50-64 years",0.0217514667741268
"119",2021-05-23,"65-74 years",0.00951751517566966
"120",2021-05-23,"75+ years",0.00720075018723808
"121",2021-05-30,"0-17 years",0.0418722239647868
"122",2021-05-30,"18-29 years",0.0217057126573699
"123",2021-05-30,"50-64 years",0.0152195653387096
"124",2021-05-30,"65-74 years",0.00699025419997078
"125",2021-05-30,"75+ years",0.0053274360419285
"126",2021-06-06,"0-17 years",0.0696811753240228
"127",2021-06-06,"18-29 years",0.0221249621080628
"128",2021-06-06,"50-64 years",0.0144105781715286
"129",2021-06-06,"65-74 years",0.00666776736634433
"130",2021-06-06,"75+ years",0.0050193254776707
"131",2021-06-13,"0-17 years",0.038759926382669
"132",2021-06-13,"18-29 years",0.0190635333638054
"133",2021-06-13,"50-64 years",0.0118999444971464
"134",2021-06-13,"65-74 years",0.00552394180803291
"135",2021-06-13,"75+ years",0.00411533664489566
"136",2021-06-20,"0-17 years",0.0227486761005415
"137",2021-06-20,"18-29 years",0.0134297851219873
"138",2021-06-20,"50-64 years",0.00847759334169643
"139",2021-06-20,"65-74 years",0.0040035679283891
"140",2021-06-20,"75+ years",0.00302390630681791
"141",2021-06-27,"0-17 years",0.018373218550077
"142",2021-06-27,"18-29 years",0.0106916317273654
"143",2021-06-27,"50-64 years",0.00665666948172463
"144",2021-06-27,"65-74 years",0.00322626368078515
"145",2021-06-27,"75+ years",0.00244698279726387
"146",2021-07-04,"0-17 years",0.0143595637324085
"147",2021-07-04,"18-29 years",0.00946321159365529
"148",2021-07-04,"50-64 years",0.00587596032323657
"149",2021-07-04,"65-74 years",0.00296066147377846
"150",2021-07-04,"75+ years",0.00226447144391371
"151",2021-07-11,"0-17 years",0.0134535489118202
"152",2021-07-11,"18-29 years",0.00918054842136205
"153",2021-07-11,"50-64 years",0.00562355707665881
"154",2021-07-11,"65-74 years",0.00285098090448309
"155",2021-07-11,"75+ years",0.00218448810495537
"156",2021-07-18,"0-17 years",0.0122574276264733
"157",2021-07-18,"18-29 years",0.0087077807652507
"158",2021-07-18,"50-64 years",0.00557541512547771
"159",2021-07-18,"65-74 years",0.00282291176470779
"160",2021-07-18,"75+ years",0.00211527451540795
"161",2021-07-25,"0-17 years",0.0110704688034954
"162",2021-07-25,"18-29 years",0.00839257546127414
"163",2021-07-25,"50-64 years",0.00535921672501981
"164",2021-07-25,"65-74 years",0.00271306894604956
"165",2021-07-25,"75+ years",0.00198302199264201
"166",2021-08-01,"0-17 years",0.013141948837421
"167",2021-08-01,"18-29 years",0.00862607281232447
"168",2021-08-01,"50-64 years",0.00559233695572938
"169",2021-08-01,"65-74 years",0.00279257113385241
"170",2021-08-01,"75+ years",0.00203423813428499
"171",2021-08-08,"0-17 years",0.0162777252293593
"172",2021-08-08,"18-29 years",0.010194210635889
"173",2021-08-08,"50-64 years",0.00681537488637731
"174",2021-08-08,"65-74 years",0.00337293710481328
"175",2021-08-08,"75+ years",0.00240376020296143
"176",2021-08-15,"0-17 years",0.0190906011766434
"177",2021-08-15,"18-29 years",0.012806215414162
"178",2021-08-15,"50-64 years",0.00861660345997646
"179",2021-08-15,"65-74 years",0.00437031638820458
"180",2021-08-15,"75+ years",0.00317099715099442
"181",2021-08-22,"0-17 years",0.0212840564908563
"182",2021-08-22,"18-29 years",0.0148038287762393
"183",2021-08-22,"50-64 years",0.0096131737066915
"184",2021-08-22,"65-74 years",0.00475939036034999
"185",2021-08-22,"75+ years",0.00341908431186878
"186",2021-08-29,"0-17 years",0.0203885403250658
"187",2021-08-29,"18-29 years",0.0146128679205348
"188",2021-08-29,"50-64 years",0.00895282879594038
"189",2021-08-29,"65-74 years",0.00440997013248829
"190",2021-08-29,"75+ years",0.00323853544618904
"191",2021-09-05,"0-17 years",0.016720615754121
"192",2021-09-05,"18-29 years",0.0134736918123513
"193",2021-09-05,"50-64 years",0.00785425907850571
"194",2021-09-05,"65-74 years",0.00369130280462302
"195",2021-09-05,"75+ years",0.00269889920237321
"196",2021-09-12,"0-17 years",0.0146389806577365
"197",2021-09-12,"18-29 years",0.0149289497463245
"198",2021-09-12,"50-64 years",0.00843514821930437
"199",2021-09-12,"65-74 years",0.00393594239394781
"200",2021-09-12,"75+ years",0.00278601450871921
"201",2021-09-19,"0-17 years",0.0123527172351109
"202",2021-09-19,"18-29 years",0.0132343409075833
"203",2021-09-19,"50-64 years",0.00723575962395833
"204",2021-09-19,"65-74 years",0.00365969662873731
"205",2021-09-19,"75+ years",0.00269755896689097
"206",2021-09-26,"0-17 years",0.009269815886427
"207",2021-09-26,"18-29 years",0.0114646433668496
"208",2021-09-26,"50-64 years",0.00620157906349457
"209",2021-09-26,"65-74 years",0.00414209643440151
"210",2021-09-26,"75+ years",0.00348284122838134
"211",2021-10-03,"0-17 years",0.00804792517566731
"212",2021-10-03,"18-29 years",0.0100465217478562
"213",2021-10-03,"50-64 years",0.00539888839129088
"214",2021-10-03,"65-74 years",0.00345996766305298
"215",2021-10-03,"75+ years",0.00297197218188087
"216",2021-10-10,"0-17 years",0.00675827042030353
"217",2021-10-10,"18-29 years",0.00891722917873815
"218",2021-10-10,"50-64 years",0.00478857812812775
"219",2021-10-10,"65-74 years",0.00293233273502258
"220",2021-10-10,"75+ years",0.0025879468506644
