"","day","age_group","perc_doses"
"116",2021-01-07,"0-17 years",1.88157709363465e-06
"117",2021-01-07,"18-29 years",0.000977729138029543
"118",2021-01-07,"50-64 years",0.0008603175220688
"119",2021-01-07,"65-74 years",0.000328568866885773
"120",2021-01-07,"75+ years",0.000149504635631787
"121",2021-01-08,"0-17 years",1.88157709363465e-06
"122",2021-01-08,"18-29 years",0.000977729138029543
"123",2021-01-08,"50-64 years",0.0008603175220688
"124",2021-01-08,"65-74 years",0.000328568866885773
"125",2021-01-08,"75+ years",0.000149504635631787
"126",2021-01-09,"0-17 years",1.88157709363465e-06
"127",2021-01-09,"18-29 years",0.000977729138029543
"128",2021-01-09,"50-64 years",0.0008603175220688
"129",2021-01-09,"65-74 years",0.000328568866885773
"130",2021-01-09,"75+ years",0.000149504635631787
"131",2021-01-10,"0-17 years",3.46864646826562e-06
"132",2021-01-10,"18-29 years",0.00110960752997466
"133",2021-01-10,"50-64 years",0.00101990636351678
"134",2021-01-10,"65-74 years",0.00048272894008601
"135",2021-01-10,"75+ years",0.000440486169874151
"136",2021-01-11,"0-17 years",3.46864646826562e-06
"137",2021-01-11,"18-29 years",0.00110960752997466
"138",2021-01-11,"50-64 years",0.00101990636351678
"139",2021-01-11,"65-74 years",0.00048272894008601
"140",2021-01-11,"75+ years",0.000440486169874151
"141",2021-01-12,"0-17 years",3.46864646826562e-06
"142",2021-01-12,"18-29 years",0.00110960752997466
"143",2021-01-12,"50-64 years",0.00101990636351678
"144",2021-01-12,"65-74 years",0.00048272894008601
"145",2021-01-12,"75+ years",0.000440486169874151
"146",2021-01-13,"0-17 years",3.46864646826562e-06
"147",2021-01-13,"18-29 years",0.00110960752997466
"148",2021-01-13,"50-64 years",0.00101990636351678
"149",2021-01-13,"65-74 years",0.00048272894008601
"150",2021-01-13,"75+ years",0.000440486169874151
"151",2021-01-14,"0-17 years",3.46864646826562e-06
"152",2021-01-14,"18-29 years",0.00110960752997466
"153",2021-01-14,"50-64 years",0.00101990636351678
"154",2021-01-14,"65-74 years",0.00048272894008601
"155",2021-01-14,"75+ years",0.000440486169874151
"156",2021-01-15,"0-17 years",3.46864646826562e-06
"157",2021-01-15,"18-29 years",0.00110960752997466
"158",2021-01-15,"50-64 years",0.00101990636351678
"159",2021-01-15,"65-74 years",0.00048272894008601
"160",2021-01-15,"75+ years",0.000440486169874151
"161",2021-01-16,"0-17 years",3.46864646826562e-06
"162",2021-01-16,"18-29 years",0.00110960752997466
"163",2021-01-16,"50-64 years",0.00101990636351678
"164",2021-01-16,"65-74 years",0.00048272894008601
"165",2021-01-16,"75+ years",0.000440486169874151
"166",2021-01-17,"0-17 years",9.29880853520893e-06
"167",2021-01-17,"18-29 years",0.00122734355191003
"168",2021-01-17,"50-64 years",0.00130030920234294
"169",2021-01-17,"65-74 years",0.000841944393768558
"170",2021-01-17,"75+ years",0.00123635355649982
"171",2021-01-18,"0-17 years",9.29880853520893e-06
"172",2021-01-18,"18-29 years",0.00122734355191003
"173",2021-01-18,"50-64 years",0.00130030920234294
"174",2021-01-18,"65-74 years",0.000841944393768558
"175",2021-01-18,"75+ years",0.00123635355649982
"176",2021-01-19,"0-17 years",9.29880853520893e-06
"177",2021-01-19,"18-29 years",0.00122734355191003
"178",2021-01-19,"50-64 years",0.00130030920234294
"179",2021-01-19,"65-74 years",0.000841944393768558
"180",2021-01-19,"75+ years",0.00123635355649982
"181",2021-01-20,"0-17 years",9.29880853520893e-06
"182",2021-01-20,"18-29 years",0.00122734355191003
"183",2021-01-20,"50-64 years",0.00130030920234294
"184",2021-01-20,"65-74 years",0.000841944393768558
"185",2021-01-20,"75+ years",0.00123635355649982
"186",2021-01-21,"0-17 years",9.29880853520893e-06
"187",2021-01-21,"18-29 years",0.00122734355191003
"188",2021-01-21,"50-64 years",0.00130030920234294
"189",2021-01-21,"65-74 years",0.000841944393768558
"190",2021-01-21,"75+ years",0.00123635355649982
"191",2021-01-22,"0-17 years",9.29880853520893e-06
"192",2021-01-22,"18-29 years",0.00122734355191003
"193",2021-01-22,"50-64 years",0.00130030920234294
"194",2021-01-22,"65-74 years",0.000841944393768558
"195",2021-01-22,"75+ years",0.00123635355649982
"196",2021-01-23,"0-17 years",9.29880853520893e-06
"197",2021-01-23,"18-29 years",0.00122734355191003
"198",2021-01-23,"50-64 years",0.00130030920234294
"199",2021-01-23,"65-74 years",0.000841944393768558
"200",2021-01-23,"75+ years",0.00123635355649982
"201",2021-01-24,"0-17 years",1.70541784689726e-05
"202",2021-01-24,"18-29 years",0.00200297324258989
