"","weeks","immuno","severe_inf_ve","severe_vacc_ve","severe_hybrid_ve","nonsevere_inf_ve","nonsevere_vacc_ve","nonsevere_hybrid_ve"
"1",1,0,0.977043454117128,0.965071270783467,0.990180620145416,0.940929096770329,0.7584902815987,0.9267575872452
"2",1,1,0.827043454117128,0.815071270783468,0.938265775496394,0.790929096770329,0.6084902815987,0.7767575872452
"3",10,0,0.936137959053455,0.836934421507392,0.976807000137077,0.777514482247037,0.529807936612731,0.782098740215437
"4",10,1,0.786137959053455,0.686934421507392,0.907658553646858,0.627514482247037,0.379807936612731,0.632098740215437
"5",100,0,0.822344341580534,0.238724583299671,0.945219020894642,0.162027277332363,0.084589316173924,0.351728633317207
"6",100,1,0.672344341580535,0.0900541913492495,0.703734555992457,0.0120272773323627,0,0.201728633317207
"7",101,0,0.821557134961072,0.2336386735237,0.945015175686456,0.157211341484129,0.0819500188060766,0.34866712696989
"8",101,1,0.671557134961072,0.08639682907411,0.701615866135248,0.00721134148412875,0,0.19866712696989
"9",102,0,0.820774247452523,0.228569395456562,0.944812591493038,0.152415584463866,0.0793292273712718,0.345621538751743
"10",102,1,0.670774247452524,0.0827514269373005,0.699498437292808,0.00241558446386575,0,0.195621538751743
"11",103,0,0.819995613358508,0.223516532444587,0.944611248264355,0.147639725120898,0.0767266325721391,0.342591631042738
"12",103,1,0.669995613358509,0.0791178291395652,0.697382249415103,0,0,0.192591631042738
"13",104,0,0.819221168608404,0.218479872729186,0.944411126460164,0.142883488908028,0.0741419332234339,0.339577172036846
"14",104,1,0.669221168608404,0.075495883401783,0.69526728296189,0,0,0.189577172036846
"15",11,0,0.933375330996643,0.826195333660876,0.975967016317193,0.764960443654053,0.516660952436167,0.772039785247805
"16",11,1,0.783375330996643,0.676195333660876,0.904903725177952,0.614960443654053,0.366660952436167,0.622039785247805
"17",12,0,0.930749025066323,0.815774916112723,0.975173635010127,0.752881958088544,0.504337971440399,0.76245175217375
"18",12,1,0.780749025066323,0.665774916112723,0.902195499221865,0.602881958088544,0.354337971440399,0.61245175217375
"19",13,0,0.928241730665235,0.80563822696599,0.974420686364843,0.741223443712177,0.492724670645639,0.753275891815117
"20",13,1,0.778241730665235,0.65563822696599,0.899527705927559,0.591223443712177,0.342724670645639,0.603275891815117
"21",14,0,0.9258394781133,0.795756528811559,0.973703221037673,0.729939545763805,0.481729988918237,0.744464676829555
"22",14,1,0.7758394781133,0.645756528811559,0.896895395951367,0.579939545763805,0.331729988918237,0.594464676829555
