"","date","total_cases","perc_cases"
"1",2022-01-06,3781945.80827684,0.0800921789827408
"2",2022-01-13,4167923.657681,0.0882662270958037
"3",2022-01-20,4009840.6597615,0.0849184235033282
"4",2022-01-27,3227951.94808156,0.0683599708403093
"5",2022-02-03,2225987.10396998,0.0471408546241618
"6",2022-02-10,1376169.02568393,0.0291438274113718
"7",2022-02-17,813442.193265702,0.0172266766997473
"8",2022-02-24,503247.850203788,0.0106575342256334
"9",2022-03-03,343945.597209586,0.00728390985184083
"10",2022-03-10,260800.632586986,0.00552310688806144
"11",2022-03-17,218577.699920316,0.00462893049005113
"12",2022-03-24,201109.398323669,0.00425899543309149
"13",2022-03-31,200690.859397848,0.0042501318225964
"14",2022-04-07,215021.312011664,0.0045536150647776
"15",2022-04-14,248213.798886598,0.00525654914539067
"16",2022-04-21,301621.593280465,0.00638759301659197
"17",2022-04-28,374835.217042602,0.00793807495250418
"18",2022-05-05,465301.858025385,0.0098539327592721
"19",2022-05-12,562232.025255916,0.0119066719301149
"20",2022-05-19,642271.895824779,0.0136017167468141
"21",2022-05-26,696110.214602732,0.0147418780506214
"22",2022-06-02,724607.606589156,0.015345381732383
"23",2022-06-09,732202.342277848,0.0155062192908626
"24",2022-06-16,739505.010072167,0.0156608715798389
"25",2022-06-23,758454.424488677,0.0160621729120112
"26",2022-06-30,790362.781558797,0.0167379123263393
"27",2022-07-07,827246.961268605,0.0175190272530747
"28",2022-07-14,867387.610579245,0.0183691060834046
"29",2022-07-21,892717.244581681,0.0189055245523447
"30",2022-07-28,883226.143801244,0.0187045267112899
"31",2022-08-04,845461.619983473,0.0179047682921736
"32",2022-08-11,788027.819804405,0.0166884636604326
"33",2022-08-18,716660.315138435,0.0151770779222369
"34",2022-08-25,643772.208984333,0.0136334896373304
"35",2022-09-01,573734.477175862,0.0121502651714291
"36",2022-09-08,505817.987477582,0.0107119633224471
"37",2022-09-15,443332.471983176,0.00938867596072606
"38",2022-09-22,393467.736662597,0.00833266524331112
"39",2022-09-29,352192.984798351,0.00745856894966654
"40",2022-10-06,320833.777408793,0.00679445915583908
"41",2022-10-13,301389.296415399,0.00638267354840359
"42",2022-10-20,290129.315020548,0.00614421522802125
"43",2022-10-27,283713.862749919,0.00600835195087171
"44",2022-11-03,284582.15229266,0.00602674015762862
"45",2022-11-10,295959.462585605,0.00626768321142134
"46",2022-11-17,319845.348721673,0.00677352670166504
"47",2022-11-24,360196.617953496,0.00762806593658031
"48",2022-12-01,410235.431241151,0.00868776319113851
"49",2022-12-08,458515.828625171,0.00971022158284153
"50",2022-12-15,493831.047733855,0.0104581098374742
"51",2022-12-22,509791.168296695,0.0107961053819655
"52",2022-12-29,502086.341484966,0.0106329363680982
"53",2023-01-05,470825.35372737,0.00997090662108831
"54",2023-01-12,431247.901727996,0.00913275490503848
"55",2023-01-19,391012.712829059,0.00828067396203673
"56",2023-01-26,354857.953074664,0.00751500633057844
"57",2023-02-02,323886.302410657,0.00685910402152265
"58",2023-02-09,296060.528019171,0.00626982352521865
"59",2023-02-16,272505.904716913,0.00577099535553236
"60",2023-02-23,250126.621529109,0.00529705795784137
"61",2023-03-02,229001.10750578,0.00484967226380104
"62",2023-03-09,209850.875609765,0.00444411811830801
"63",2023-03-16,190806.087556398,0.00404079701039567
"64",2023-03-23,171651.616428468,0.00363515308854455
"65",2023-03-30,153065.389200105,0.00324154315512611
"66",2023-04-06,137567.131932424,0.00291332872320932
"67",2023-04-13,123658.400929386,0.00261877649285209
"68",2023-04-20,111011.689632407,0.0023509506920371
"69",2023-04-27,100863.025107204,0.00213602729101706
"70",2023-05-04,94465.4281196206,0.00200054214422632
"71",2023-05-11,90527.2927150919,0.00191714225917575
"72",2023-05-18,88718.5273068254,0.00187883711939832
"73",2023-05-25,89596.6407388158,0.001897433371626
"74",2023-06-01,92054.1358066283,0.00194947698747837
"75",2023-06-08,94449.7540299017,0.00200021020610166
"76",2023-06-15,97216.1396628816,0.00205879535366433
"77",2023-06-22,101391.166962316,0.00214721201817398
"78",2023-06-29,106968.623596041,0.00226532863793071
