"","weeks","immuno","severe_inf_ve","severe_vacc_ve","severe_hybrid_ve","nonsevere_inf_ve","nonsevere_vacc_ve","nonsevere_hybrid_ve"
"1",1,0,0.96468391839807,0.957603717326188,0.975457294476634,0.923674392910673,0.700898245018099,0.898822546027083
"2",1,1,0.81468391839807,0.807603717326189,0.923542449827612,0.773674392910673,0.550898245018099,0.748822546027083
"3",10,0,0.901755383373387,0.802071975843057,0.942031067718248,0.71252611213589,0.417682765444623,0.698990054351422
"4",10,1,0.751755383373387,0.652071975843057,0.872882621228029,0.56252611213589,0.267682765444623,0.548990054351422
"5",100,0,0.726696613602152,0.0855135508003279,0.863079597859041,0,0,0.104474526472927
"6",100,1,0.576696613602152,0,0.621595132956855,0,0,0
"7",101,0,0.725485584148838,0.0810742663392159,0.862570104083369,0,0,0.100245345512156
"8",101,1,0.575485584148838,0,0.619170794532161,0,0,0
"9",102,0,0.724281199165222,0.0766494990224953,0.862063762106953,0,0,0.0960381539386944
"10",102,1,0.574281199165222,0,0.616749607906723,0,0,0
"11",103,0,0.723083357584761,0.0722390597419618,0.861560521816439,0,0,0.0918526235029847
"12",103,1,0.573083357584761,0,0.614331522967187,0,0,0
"13",104,0,0.721891960841957,0.067842763662128,0.861060334372649,0,0,0.0876884339869593
"14",104,1,0.571891960841957,0,0.611916490874375,0,0,0
"15",11,0,0.897505388692657,0.789036935227141,0.939931599539898,0.696305019099495,0.401400662736873,0.685094561084968
"16",11,1,0.747505388692657,0.639036935227141,0.868868308400657,0.546305019099495,0.251400662736873,0.535094561084968
"17",12,0,0.893465110376396,0.776388694713956,0.93794861038219,0.680698388878815,0.386139060566817,0.671849601797667
"18",12,1,0.743465110376396,0.626388694713956,0.864970474593928,0.530698388878815,0.236139060566817,0.521849601797667
"19",13,0,0.88960791800431,0.764084842037917,0.93606667922675,0.665634404093004,0.371756373725729,0.659174020066006
"20",13,1,0.73960791800431,0.614084842037917,0.861173698789466,0.515634404093004,0.221756373725729,0.509174020066006
"21",14,0,0.885912320784003,0.752090495903669,0.934273435609668,0.651054461783761,0.358139826027763,0.647002161369438
"22",14,1,0.735912320784003,0.602090495903669,0.857465610523362,0.501054461783761,0.208139826027763,0.497002161369438
"23",15,0,0.882360683620836,0.740376529060945,0.932558784350316,0.636909979134531,0.345197982261196,0.635280028218685
"24",15,1,0.732360683620835,0.590376529060945,0.853836114614988,0.486909979134531,0.195197982261196,0.485280028218685
"25",16,0,0.878938327352873,0.728918300763718,0.93091436528957,0.623160131581007,0.332855578335401,0.623962579499038
"26",16,1,0.728938327352873,0.578918300763718,0.85027685090522,0.473160131581007,0.182855578335401,0.473962579499038
"27",17,0,0.875632881552961,0.717694729942234,0.929333166693624,0.609770210132309,0.321049844501216,0.613011783755303
"28",17,1,0.725632881552962,0.567694729942234,0.846780807660253,0.459770210132309,0.171049844501216,0.463011783755303
"29",18,0,0.872433808424516,0.706687602895777,0.927809242229314,0.59671040209686,0.30972782892336,0.602395184270391
"30",18,1,0.722433808424516,0.556687602895778,0.84334203854692,0.44671040209686,0.15972782892336,0.452395184270391
"31",19,0,0.869332045638659,0.695881046464794,0.926337499602429,0.583954868727426,0.298844409575931,0.59208482062163
"32",19,1,0.719332045638659,0.545881046464794,0.839955451271013,0.433954868727426,0.148844409575931,0.44208482062163
"33",2,0,0.951945833231371,0.932582773159496,0.968210129016635,0.886226292272464,0.634473232592674,0.859518034070107
"34",2,1,0.801945833231371,0.782582773159496,0.914380439718591,0.736226292272464,0.484473232592674,0.709518034070107
"35",20,0,0.866319733748794,0.685261120524513,0.924913539930393,0.571481035730625,0.288360790910502,0.582056404181885
"36",20,1,0.716319733748793,0.535261120524513,0.836616646949956,0.421481035730625,0.138360790910502,0.432056404181885
"37",21,0,0.863390004958096,0.674815498177085,0.923533533765698,0.559269039378847,0.278243349015577,0.572288678147163
"38",21,1,0.713390004958096,0.524815498177085,0.833321796136238,0.409269039378847,0.128243349015577,0.422288678147163
"39",22,0,0.860536817188128,0.66453321150382,0.922194124075452,0.54730128834933,0.268462731904736,0.5627629140318
"40",22,1,0.710536817188129,0.51453321150382,0.830067541796971,0.39730128834933,0.118462731904736,0.4127629140318
"41",23,0,0.8577548221306,0.654404447077719,0.920892349367606,0.535562112974761,0.258993149651995,0.553462510692082
"42",23,1,0.7077548221306,0.504404447077719,0.826850922440103,0.385562112974761,0.108993149651995,0.403462510692082
"43",24,0,0.85503925915806,0.644420379764036,0.919625582093601,0.524037481442935,0.249811807883864,0.544372671479942
"44",24,1,0.705039259158059,0.494420379764036,0.823669310517076,0.374037481442935,0.099811807883864,0.394372671479942
"45",25,0,0.852385869167011,0.634573036348199,0.918391478786927,0.512714767922782,0.240898450968192,0.535480141703267
"46",25,1,0.702385869167012,0.484573036348198,0.82052036256138,0.362714767922782,0.090898450968192,0.385480141703267
"47",26,0,0.849790823966518,0.624855182662804,0.917187939325405,0.501582561428646,0.232234990161837,0.526772993181599
"48",26,1,0.699790823966518,0.474855182662804,0.817401978450838,0.351582561428646,0.082234990161837,0.376772993181599
"49",27,0,0.847250667921398,0.615260229419203,0.916013073363791,0.490630506981226,0.223805198286734,0.518240445974105
"50",27,1,0.697250667921397,0.465260229419203,0.814312267840201,0.340630506981226,0.073805198286734,0.368240445974105
"51",28,0,0.8447622693512,0.605782153068263,0.914865172457892,0.479849172619373,0.215594457030943,0.509872719735574
"52",28,1,0.6947622693512,0.455782153068263,0.81124952228528,0.329849172619373,0.065594457030943,0.359872719735574
